Clase,Edad,Sexo,Sobrevivio
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,si
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,hombre,no
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,si
primera,adulto,mujer,no
primera,adulto,mujer,no
primera,adulto,mujer,no
primera,adulto,mujer,no
primera,infante,hombre,si
primera,infante,hombre,si
primera,infante,hombre,si
primera,infante,hombre,si
primera,infante,hombre,si
primera,infante,mujer,si
segunda,adulto,hombre,si
segunda,adulto,hombre,si
segunda,adulto,hombre,si
segunda,adulto,hombre,si
segunda,adulto,hombre,si
segunda,adulto,hombre,si
segunda,adulto,hombre,si
segunda,adulto,hombre,si
segunda,adulto,hombre,si
segunda,adulto,hombre,si
segunda,adulto,hombre,si
segunda,adulto,hombre,si
segunda,adulto,hombre,si
segunda,adulto,hombre,si
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,hombre,no
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,si
segunda,adulto,mujer,no
segunda,adulto,mujer,no
segunda,adulto,mujer,no
segunda,adulto,mujer,no
segunda,adulto,mujer,no
segunda,adulto,mujer,no
segunda,adulto,mujer,no
segunda,adulto,mujer,no
segunda,adulto,mujer,no
segunda,adulto,mujer,no
segunda,adulto,mujer,no
segunda,adulto,mujer,no
segunda,adulto,mujer,no
segunda,infante,hombre,si
segunda,infante,hombre,si
segunda,infante,hombre,si
segunda,infante,hombre,si
segunda,infante,hombre,si
segunda,infante,hombre,si
segunda,infante,hombre,si
segunda,infante,hombre,si
segunda,infante,hombre,si
segunda,infante,hombre,si
segunda,infante,hombre,si
segunda,infante,mujer,si
segunda,infante,mujer,si
segunda,infante,mujer,si
segunda,infante,mujer,si
segunda,infante,mujer,si
segunda,infante,mujer,si
segunda,infante,mujer,si
segunda,infante,mujer,si
segunda,infante,mujer,si
segunda,infante,mujer,si
segunda,infante,mujer,si
segunda,infante,mujer,si
segunda,infante,mujer,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,si
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
tercera,adulto,hombre,no
